Authors,Author full names,Author(s) ID,Title,Link,Abstract,Publisher,title_key,source
"Hambardzumyan, S.; Tuli, A.; Ghukasyan, L.; Rahman, F.; Topchyan, H.; Isayan, D.; McQuade, M.; Harutyunyan, M.; Hakobyan, T.; Stranic, I.; Buniatyan, D.","Hambardzumyan, Sasun (57148514000); Tuli, Abhinav (57909282000); Ghukasyan, Levon (57910126700); Rahman, Fariz (57456730800); Topchyan, Hrant (59624043000); Isayan, David (57908863400); McQuade, Mark (58022279000); Harutyunyan, Mikayel (58046059600); Hakobyan, Tatevik (58046085600); Stranic, Ivo (58046212600); Buniatyan, Davit (57208672571)",57148514000; 57909282000; 57910126700; 57456730800; 59624043000; 57908863400; 58022279000; 58046059600; 58046085600; 58046212600; 57208672571,Deep Lake: a Lakehouse for Deep Learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148765532&partnerID=40&md5=f279887e194c5c5734e13784406bcc23,"Traditional data lakes provide critical data infrastructure for analytical workloads by enabling time travel, running SQL queries, ingesting data with ACID transactions, and visualizing petabyte-scale datasets on cloud storage. They allow organizations to break down data silos, unlock data-driven decision-making, improve operational efficiency, and reduce costs. However, as deep learning usage increases, traditional data lakes are not well-designed for applications such as natural language processing (NLP), audio processing, computer vision, and applications involving non-tabular datasets. This paper presents Deep Lake, an open-source lakehouse for deep learning applications developed at Activeloop12. Deep Lake maintains the benefits of a vanilla data lake with one key difference: it stores complex data, such as images, videos, annotations, as well as tabular data, in the form of tensors and rapidly streams the data over the network to (a) Tensor Query Language, (b) in-browser visualization engine, or (c) deep learning frameworks without sacrificing GPU utilization. Datasets stored in Deep Lake can be accessed from PyTorch [58], TensorFlow [25], JAX [31], and integrate with numerous MLOps tools. © 2023 13th Annual Conference on Innovative Data Systems Research, CIDR 2023. All rights reserved.",Conference on Innovative Data Systems Research (CIDR),deep lake a lakehouse for deep learning,Scopus
"Han, B.; Yang, Y.; Caspi, A.; Howe, B.","Han, Bin (57219746995); Yang, Yiwei (57563967700); Caspi, Anat (57194274586); Howe, Bill (57203255530)",57219746995; 57563967700; 57194274586; 57203255530,Towards Zero-Shot Annotation of the Built Environment with Vision-Language Models,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215132750&partnerID=40&md5=bb486f74d732a4afbcec3942790914cc,"Equitable urban transportation applications require high-fidelity digital representations of the built environment (streets, crossings, curb ramps and more). Direct inspections and manual annotations are costly at scale, while conventional machine learning methods require substantial annotated training data for adequate performance. This study explores vision language models as a tool for annotating diverse urban features from satellite images, reducing the dependence on human annotation. Although these models excel at describing common objects in human-centric images, their training sets may lack signals for esoteric built environment features, making their performance uncertain. We demonstrate a proof-of-concept using a vision language model and a visual prompting strategy that considers segmented image elements. Experiments on two urban features - stop lines and raised tables - show that while zero-shot prompting rarely works, the segmentation and visual prompting strategies achieve nearly 40% intersection-over-union accuracy. We describe how these results motivate further research in automatic annotation of the built environment to improve equity, accessibility, and safety at scale and in diverse environments. © 2024 Copyright held by the owner/author(s).","Association for Computing Machinery, Inc",towards zero-shot annotation of the built environment with vision-language models,Scopus
"Han, J.; Zhong, W.; Wang, C.; Zhang, Y.; Ding, C.; Luo, L.","Han, Jiabao (57219546449); Zhong, Wei (59722601000); Wang, Cheng (59723402400); Zhang, Ying (60131700000); Ding, Cheng (59723003300); Luo, Luwei (57205394145)",57219546449; 59722601000; 59723402400; 60131700000; 59723003300; 57205394145,Enhance multi-modal structured representations with open information extraction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020906755&partnerID=40&md5=3a3eaf210ef61442d86e5c2242c79ae9,"Current large-scale vision-language models are expanding their range of applications and have achieved impressive performance in multi-modal tasks. However, the performance of existing models in expressing structured semantic information is of concern, as they have difficulty distinguishing the relationship between subjects and objects in some scene-specific images. This is because the feature learning process in multi-modal task scenarios does not incorporate structured knowledge into the model. In this study, we propose an enhanced end-to-end contrastive language-image pre-training (CLIP) model with open information extraction (OIE-CLIP), which is used to assist in the training of multi-modal models for short texts by integrating structured knowledge representations to enhance the ability of multi-modal representation of structured information. OIE-CLIP leverages the construction of effective negative examples to enhance contrastive learning. In addition, we propose a triple knowledge encoder (TKE) based on the output of open information extraction (OIE) to further boost the structured representation capability of the multi-modal model. To verify the validity of our approach, we pre-trained the model with the above method and downstream experiments in multi-modal tasks. The experimental results show that our method performs best on the public datasets visual genome attribution (VG-Attribution) and visual genome relation (VG-Relation), outperforming the multi-modal state-of-the-art model by 2.2% and 1.8%, respectively. Furthermore, our experimental results on the Microsoft Common Objects in Context (MSCOCO) dataset further demonstrate that our method can effectively improve the structured representations. © © 2025. Published by Elsevier Ltd.",Elsevier Ltd,enhance multi-modal structured representations with open information extraction,Scopus
"Han, S.; Wang, M.; Zhang, J.; Li, D.; Duan, J.","Han, Songyue (57491691500); Wang, Mingyu (57867257300); Zhang, Jialong (57202339479); Li, Dongdong (56226705300); Duan, Junhong (59489058300)",57491691500; 57867257300; 57202339479; 56226705300; 59489058300,"A Review of Large Language Models: Fundamental Architectures, Key Technological Evolutions, Interdisciplinary Technologies Integration, Optimization and Compression Techniques, Applications, and Challenges",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213293835&partnerID=40&md5=52bbec12714e7e790968e1030043173e,"Large language model-related technologies have shown astonishing potential in tasks such as machine translation, text generation, logical reasoning, task planning, and multimodal alignment. Consequently, their applications have continuously expanded from natural language processing to computer vision, scientific computing, and other vertical industry fields. This rapid surge in research work in a short period poses significant challenges for researchers to comprehensively grasp the research dynamics, understand key technologies, and develop applications in the field. To address this, this paper provides a comprehensive review of research on large language models. First, it organizes and reviews the research background and current status, clarifying the definition of large language models in both Chinese and English communities. Second, it analyzes the mainstream infrastructure of large language models and briefly introduces the key technologies and optimization methods that support them. Then, it conducts a detailed review of the intersections between large language models and interdisciplinary technologies such as contrastive learning, knowledge enhancement, retrieval enhancement, hallucination dissolution, recommendation systems, reinforcement learning, multimodal large models, and agents, pointing out valuable research ideas. Finally, it organizes the deployment and industry applications of large language models, identifies the limitations and challenges they face, and provides an outlook on future research directions. Our review paper aims not only to provide systematic research but also to focus on the integration of large language models with interdisciplinary technologies, hoping to provide ideas and inspiration for researchers to carry out industry applications and the secondary development of large language models. © 2024 by the authors.",Multidisciplinary Digital Publishing Institute (MDPI),a review of large language models fundamental architectures key technological evolutions interdisciplinary technologies integration optimization and compression techniques applications and challenges,"Scopus, WoS"
"Han, Y.; Geng, H.; Li, H.; Xiong, J.; Li, G.; Holtkamp, B.; Gartmann, R.; Wagner, R.; Weissenberg, N.","Han, Yanbo (21735902800); Geng, Hui (36784950600); Li, Houfu (8328488200); Xiong, Jinhua (7202010120); Li, Gang (59621138900); Holtkamp, Bernhard (57208916639); Gartmann, Rüdiger (8335843300); Wagner, Roland M. (12800092400); Weissenberg, Norbert (8335843400)",21735902800; 36784950600; 8328488200; 7202010120; 59621138900; 57208916639; 8335843300; 12800092400; 8335843400,VINCA - A visual and personalized business-level composition language for chaining web-based services,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35248878756&partnerID=40&md5=e8a3490427ceff7fb8d1e9b94b1ecb5e,"The paper presents a service composition language called VINCA, which differs from many existing ones in its emphasis on enabling business users to visually ""program"" from business view-point their personalized applications on the basis of Web-based services. VINCA embodies an integrated approach to mediating between diverse, rapidly changing user requirements and composites of individual services scattered over the Internet The approach is targeted at application scenarios that require Web-based services be quickly assembled by non-computer professionals to fulfill certain spontaneous requirements. VINCA is developed within a real-world project for developing a service mediation platform for the Olympic Games Beijing 2008, on which an effective information system providing personalized and one-stop information services to the general public, should be based. In this paper, we introduce the main features and design rationales of VINCA with a scenario, and also discuss its implementation and application. © Springer-Verlag Berlin Heidelberg 2003.",Springer Verlag,vinca - a visual and personalized business-level composition language for chaining web-based services,Scopus
"Hare, J.S.; Samangooei, S.; Lewis, P.H.","Hare, Jonathon S. (8840160700); Samangooei, Sina (25923539700); Lewis, Paul H. (7402868963)",8840160700; 25923539700; 7402868963,Efficient clustering and quantisation of SIFT features: Exploiting characteristics of the SIFT descriptor and interest region detectors under image inversion,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959686824&partnerID=40&md5=b48006b10d300fd155d0b4923ce45a92,"The SIFT keypoint descriptor is a powerful approach to encoding local image description using edge orientation histograms. Through codebook construction via k-means clustering and quantisation of SIFT features we can achieve image retrieval treating images as bags-of-words. Intensity inversion of images results in distinct SIFT features for a single local image patch across the two images. Intensity inversions notwithstanding these two patches are structurally identical. Through careful reordering of the SIFT feature vectors, we can construct the SIFT feature that would have been generated from a non-inverted image patch starting with those extracted from an inverted image patch. Furthermore, through examination of the local feature detection stage, we can estimate whether a given SIFT feature belongs in the space of inverted features, or non-inverted features. Therefore we can consistently separate the space of SIFT features into two distinct subspaces. With this knowledge, we can demonstrate reduced time complexity of codebook construction via clustering by up to a factor of four and also reduce the memory consumption of the clustering algorithms while producing equivalent retrieval results. © 2011 ACM.",Association for Computing Machinery,efficient clustering and quantisation of sift features exploiting characteristics of the sift descriptor and interest region detectors under image inversion,Scopus
"Hartl, A.; Weiand, K.; Bry, F.","Hartl, Andreas (57197552356); Weiand, Klara A. (25621813900); Bry, François (22333353700)",57197552356; 25621813900; 22333353700,"VisKWQL, a visual renderer for a semantic web query language",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889058072&partnerID=40&md5=033906f8be3b749e62dda09dfda9659f,"Querying a Wiki must be simple enough for beginning users, yet powerful enough to accommodate experienced users. To this end, the keyword-based KiWi query language (KWQL) supports queries ranging from simple lists of keywords to expressive rules for selecting and reshaping Wiki (meta-)data. In this demo, we showcase visKWQL, a visual interface for the KWQL language aimed at supporting users in the query construction process. visKWQL and its editor are described, and their functionality is illustrated using example queries. The editor provides guidance throughout the query construction process through hints, warnings and highlighting of syntactic errors. The editor enables round-tripping between the twin languagesKWQL and visKWQL, meaning that users can switch freely between the textual and visual form when constructing or editing a query. It is implemented using HTML, JavaScript, and CSS, and can thus be used in (almost) any web browser without any additional software.",,viskwql a visual renderer for a semantic web query language,Scopus
"Häußler, M.; Esser, S.; Borrmann, A.","Häußler, Marco (57211539805); Esser, Sebastian (57209973260); Borrmann, André (14824718700)",57211539805; 57209973260; 14824718700,"Code compliance checking of railway designs by integrating BIM, BPMN and DMN",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093672914&partnerID=40&md5=220a10ee296ed3dbd522bee41a73a96a,"Code compliance checking has been the subject of scientific research for more than four decades and has been put into practice in numerous projects. To date, however, no universally valid, sustainable approach to the rule-based compliance checking of models has been established. Visual programming languages are easier to understand and thus more transparent than textual formats. The study presented here analyzes the requirements specified in the guidelines of the Deutsche Bahn AG regarding the technical design of structures in railway construction and examines the feasibility of implementing these rules using BPMN and DMN. The rules analyzed are categorized into 12 different classes. Depending on the guideline subset, the BPMN/DMN approach was found to be useable in 37%-75% of the 943 rules examined. Considering only those rules that are relevant for the digital railway model, 68% of the rules can be represented and automated using BPMN and DMN. © 2020 Elsevier B.V.",Elsevier B.V.,code compliance checking of railway designs by integrating bim bpmn and dmn,Scopus
"He, D.; Liu, X.; Shi, Q.; Zheng, Y.","He, Da (57188721489); Liu, Xiaoping (15757680000); Shi, Qian (55286447700); Zheng, Yue (57678870000)",57188721489; 15757680000; 55286447700; 57678870000,Visual-language reasoning segmentation (LARSE) of function-level building footprint across Yangtze River Economic Belt of China,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005080160&partnerID=40&md5=7541cf1c06d8bc7e52e46a6043b86666,"Urban function identification at building-footprint-scale is vital for understanding socio-economic dynamics and advancing sustainable urban development. Land use classification is a common way of urban function identification; however, parcel-scale granularity often falls short for delineating human activity spaces at the building unit; while deep learning approaches can outline building footprints, they typically lack human-like reasoning abilities for understanding function types. To overcome these limitations, this study proposes a function-level building footprint extraction based on visual-language reasoning segmentation framework (LARSE). It simplifies the task into two stages, i.e., visual model for segmenting building footprint and deriving visual context embeddings, followed by a language model that utilizes these embeddings to perform precise semantic reasoning for each footprint. The framework was validated on the established large-scale building footprint function (BUFF) dataset, which achieved overall accuracy of 93.22%, and surpass the SOTA semantic segmentation approach by 4.28%. We further explored the model's applicability along the Yangtze River Economic Belt in China, and find that while the function-level building footprint distribution as well as the per capita occupancy statistic reflects regional economic heterogeneity (like business buildings) across the belt, it also highlights regional equality in basic infrastructure (like healthcare or educational buildings). © 2025 Elsevier Ltd",Elsevier Ltd,visual-language reasoning segmentation larse of function-level building footprint across yangtze river economic belt of china,"Scopus, WoS"
"He, S.; Ding, H.","He, Shuting (57218711662); Ding, Henghui (57204513246)",57218711662; 57204513246,RefMask3D: Language-Guided Transformer for 3D Referring Segmentation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209777032&partnerID=40&md5=92761f2b0dcfe8ef14c29c4028159196,"3D referring segmentation is an emerging and challenging vision-language task that aims to segment the object described by a natural language expression in a point cloud scene. The key challenge behind this task is vision-language feature fusion and alignment. In this work, we propose RefMask3D to explore the comprehensive multi-modal feature interaction and understanding. First, we propose a Geometry-Enhanced Group-Word Attention to integrate language with geometrically coherent sub-clouds through cross-modal group-word attention, which effectively addresses the challenges posed by the sparse and irregular nature of point clouds. Then, we introduce a Linguistic Primitives Construction to produce semantic primitives representing distinct semantic attributes, which greatly enhance the vision-language understanding at the decoding stage. Furthermore, we introduce an Object Cluster Module that analyzes the interrelationships among linguistic primitives to consolidate their insights and pinpoint common characteristics, helping to capture holistic information and enhance the precision of target identification. The proposed RefMask3D achieves new state-of-the-art performance on 3D referring segmentation, 3D visual grounding, and also 2D referring image segmentation. Especially, RefMask3D outperforms previous state-of-the-art method by a large margin of 3.16% mIoU on the challenging ScanRefer dataset. Code is available at https://github.com/heshuting555/RefMask3D. © 2024 ACM.","Association for Computing Machinery, Inc",refmask3d language-guided transformer for 3d referring segmentation,Scopus
"He, X.; Hu, C.J.; Ma, Z.Y.; Shao, W.Z.","He, Xiao (35174674000); Hu, Changjun (23097546200); Ma, Zhiyi (7403600419); Shao, Weizhong (55178726400)",35174674000; 23097546200; 7403600419; 55178726400,A bidirectional-transformation-based framework for software visualization and visual editing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899132677&partnerID=40&md5=7ede6f52327accdeed88570c64fe2fc0,"Software visualization and visual editing are important and practical techniques to improve the development of complex software systems. A challenge when applying the two technologies is how to realize the correspondence, a bidirectional relationship, between the data and its visual representation correctly. Although many tools and frameworks have been developed to support the construction of visual tools, it is still complicated and error-prone to realize the bidirectional relationship. In this paper, we propose a model-driven and bidirectional-transformation-based framework for data visualization and visual editing. Our approach mainly focuses on 1) how to define and manage graphical symbols in the model form and 2) how to specify and implement the bidirectional relationship based on the technique of bidirectional model transformation. Then, a prototype tool and four case studies are presented to evaluate the feasibility of our work. © 2014 Science China Press and Springer-Verlag Berlin Heidelberg.",Science in China Press,a bidirectional-transformation-based framework for software visualization and visual editing,"Scopus, WoS"
"He, Y.; Zheng, Y.; Deng, J.; Pan, H.","He, Yuanrong (35177824400); Zheng, Yuanmao (57189235476); Deng, Jian (59861078500); Pan, Huoping (57189364016)",35177824400; 57189235476; 59861078500; 57189364016,Design and implementation of a POI collection and management system based on public map service,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015161884&partnerID=40&md5=27acebe15b460c800aeff1e3b39b82bb,"In this study, the Application Interface (API) of Baidu map service was took as an example to establish a POI (Point of Interest) collection and management system (POI-CMS) based on GeoServer, PostgreSQL and PostGIS via visual studio 2010 and C# language. The newly developed POI-CMS offers one-stop POI service, including POI collection, storage, management and dissemination. The successful design and implementation of the POI-CMS indicates that the concept of construction of POI-CMS with open source software and public map service is feasible and can significantly shorten the development cycle and reduce monetary cost. © 2016 IEEE.",Institute of Electrical and Electronics Engineers Inc.,design and implementation of a poi collection and management system based on public map service,Scopus
"Hedblom, M.M.; Neuhaus, F.; Mossakowski, T.","Hedblom, Maria M. (56458551200); Neuhaus, Fabian (55266046600); Mossakowski, Till (6701444795)",56458551200; 55266046600; 6701444795,The Diagrammatic Image Schema Language (DISL),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001856148&partnerID=40&md5=727a51e971dba57e1cdbfc58bea25497,"Image schemas are mental patterns learned from perceptual experiences capturing conceptual constructions in expressions. In linguistic analysis, their visualizations are often context-dependent without a generalizable structure. Addressing this, we introduce The Diagrammatic Image Schema Language: a formal representation language that systematizes a set of visual combination rules for different conceptual primitives from the cognitive science literature. These primitives are distinguished from a formal point of view to allow for more general application. DISL also contains a logical exchange format in which the diagrams may be made machine-readable. Using DISL, the semantic structure of complex scenarios can be represented and computed. © 2024 The Author(s). Published with license by Taylor & Francis Group, LLC.",Taylor and Francis Ltd.,the diagrammatic image schema language disl,Scopus
"Hegazi, Ahmed F.; Metwally, Ahmed M.; Degady, Lamia M.; Abu El Saadat, Wael M.; El-Kadi, Amr; El-Kassas, Sherif","Hegazi, Ahmed F. (7006804345); Metwally, Ahmed M. (57196513725); Degady, Lamia M. (6504331596); Abu El Saadat, Wael M. (6505716845); El-Kadi, Amr A. (7005623179); El-Kassas, Sherif Mohammed (17433777900)",7006804345; 57196513725; 6504331596; 6505716845; 7005623179; 17433777900,Visual Craft: A visual integrated development environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030653036&partnerID=40&md5=5291c722c840c79f5a8cd91a6a8e74aa,"Visual Craft is an ongoing project to develop an integrated software development environment which uses visual languages and notations to support Object-Oriented development. Visual notations are used to provide an intuitive notation for both system design and implementation. The Visual programming component is based on a well defined graph grammar that enables the systematic construction of such environments, as well as syntax directed translation and code generation. The programming environment is modeled around interactive, derivation based, syntax directed editing. This paper outlines the basic components of Visual Craft and gives a more detailed account of the visual programming aspects of this environment.",IEEE,visual craft a visual integrated development environment,Scopus
"Heinzl, S.; Seiler, D.; Juhnke, E.; Stadelmann, T.; Ewerth, R.; Grauer, M.; Freisleben, B.","Heinzl, Steffen (23488718000); Seiler, Dominik (34977471900); Juhnke, Ernst (26221177100); Stadelmann, Thilo (16069451700); Ewerth, Ralph (6506127251); Grauer, Manfred (56271173300); Freisleben, Bernd (35611187000)",23488718000; 34977471900; 26221177100; 16069451700; 6506127251; 56271173300; 35611187000,"A scalable service-oriented architecture for multimedia analysis, synthesis and consumption",https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349456174&partnerID=40&md5=037208d157cb525fdac09385d6427a3a,"Although Service-Oriented Architectures (SOAs) were not designed for multimedia processing, they speed up the development of distributed multimedia applications by allowing the composition or reconfiguration of existing services. For example, the Business Process Execution Language for Web Services (BPEL) is a powerful tool to orchestrate, model and execute workflows. However, due to its process-oriented approach, it is not directly applicable to data-intensive applications, such as those from the multimedia domain. In this paper, a comprehensive service-oriented infrastructure for multimedia applications is presented that (a) overcomes some drawbacks of BPEL for data-intensive applications and (b) provides tools that further ease the development and use of web services for a broad scope of multimedia applications covering video content analysis, audio analysis and synthesis and multimedia consumption. The proposed service-oriented infrastructure can be easily integrated into existing business processes by using BPEL. A dynamic allocation of cloud computing resources ensures the scalability of a multimedia application. To allow efficient and flexible data transfers in BPEL workflows, an implementation of the Flexible SOAP with Attachments (Flex-SwA) architecture is used that allows data transmission in conjunction with SOAP messages. The protocol requirements of services in the case of real-time, streaming or file transfer can be described by a communication policy. Three use cases of multimedia applications are evaluated. Copyright © 2009, Inderscience Publishers.",Inderscience Publishers,a scalable service-oriented architecture for multimedia analysis synthesis and consumption,Scopus
"Heitkötter, H.","Heitkötter, Henning (55332867400)",55332867400,A framework for creating domain-specific process modeling languages,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868688892&partnerID=40&md5=170a16bf44604b1e7b91fb68b3020cdc,"Using domain-specific modeling languages to capture business processes can greatly enhance quality and efficiency of process modeling, because language and models are more expressive, concise and easy to understand. The development of domain-specific languages (DSLs) with accompanying tools and transformations is, however, a complex, time-consuming, and costly task. An efficient and simple approach to creating process modeling languages (PMLs) for specific business domains by reusing common parts is needed, where each resulting language is still optimally adjusted to its domain. For each of these languages, the abstract and concrete syntax have to be defined as well as transformations to more general languages. This paper presents DSLs4BPM, a generic framework for PMLs, which employs DSL modularization concepts to allow the derivation of domain-specific PMLs. The framework provides elements common to process modeling and a basic transformation to the generic Business Process Model and Notation 2.0. DSLs are created by adding own types to the framework language and own rules to the transformation at predefined extension points. The approach has been implemented based on the Eclipse Modeling Framework.",,a framework for creating domain-specific process modeling languages,Scopus
"Henriques, G.C.; Xavier, P.M.; Silva, V.D.L.; Bispo, L.R.; Fraga, J.V.","Henriques, Gonçalo Castro (55177128500); Xavier, Pedro Maciel (57221373970); Silva, Victor De Luca (57857760100); Bispo, Luca Rédua (57858470600); Fraga, João Victor (57859905800)",55177128500; 57221373970; 57857760100; 57858470600; 57859905800,"Computation for Architecture, hybrid visual and textual language: Research developments and considerations about the implementation of structural imperative and object-oriented paradigms",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136568333&partnerID=40&md5=bfc92627cfb90404845c64aa9ab86b18,"In the fourth industrial revolution, programming promises to be a fundamental subject like mathematics, science, languages ​​or the arts. Architects design more than buildings developing innovative methods and they are among the pioneers in visual programming development. However, after more than 10 years of visual programming in architecture, despite the fast-learning curve, visual programming presents considerable limitations to solve complex problems. To overcome limitations, the authors propose to associate the advantages of visual and textual languages in Python. The article addresses an ongoing research study to implement Computational Methods in Architectural Education. The authors began by describing the general goal of this project, and of this article in particular. This article focuses on the implementation of two disciplines ‘Computation for Architecture in Python’ I and II. The first discipline uses programming based on the construction of functions in the imperative language, implemented in the text editor, in visual programming, using Grasshopper methods. The second discipline, which is under development, intends to teach object-oriented programming. The results of the first discipline are encouraging; despite reported difficulties in programming fundamentals, such as lists, loops and recursion. The development of the second discipline, in object-oriented programming, deals with the concepts of classes and objects, and more abstract principles such abstraction, inheritance, polymorphism or encapsulation. This paradigm allows building robust programs, but requires a more in-depth syntax. The article reports this ongoing research on this new paradigm of object-oriented language, expanding the application of a hybrid visual-textual language in Architecture. © The Author(s) 2022.",SAGE Publications Inc.,computation for architecture hybrid visual and textual language research developments and considerations about the implementation of structural imperative and object-oriented paradigms,Scopus
"Hernández, F.; Bangalore, P.; Gray, J.; Guan, Z.; Reilly, K.","Hernández, Francisco (59890379600); Bangalore, Purushotham V. (8858676100); Gray, Jeff G. (13105983500); Guan, Zhijie (14071157600); Reilly, Kevin D. (7004723352)",59890379600; 8858676100; 13105983500; 14071157600; 7004723352,GAUGE: Grid automation and generative environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747483334&partnerID=40&md5=6918309ad667244b97e918569b5a88f6,"The Grid has proven to be a successful paradigm for distributed computing. However, constructing applications that exploit all the benefits that the Grid offers is still not optimal for both inexperienced and experienced users. Recent approaches to solving this problem employ a high-level abstract layer to ease the construction of applications for different Grid environments. These approaches help facilitate construction of Grid applications, but they are still tied to specific programming languages or platforms. A new approach is presented in this paper that uses concepts of domain-specific modeling (DSM) to build a high-level abstract layer. With this DSM-based abstract layer, the users are able to create Grid applications without knowledge of specific programming languages or being bound to specific Grid platforms. An additional benefit of DSM provides the capability to generate software artifacts for various Grid environments. This paper presents the Grid Automation and Generative Environment (GAUGE). The goal of GAUGE is to automate the generation of Grid applications to allow inexperienced users to exploit the Grid fully. At the same time, GAUGE provides an open framework in which experienced users can build upon and extend to tailor their applications to particular Grid environments or specific platforms. GAUGE employs domain-specific modeling techniques to accomplish this challenging task. Copyright © 2005 John Wiley & Sons, Ltd.",John Wiley and Sons Ltd,gauge grid automation and generative environment,Scopus
"Hessels, S.","Hessels, D. Scott (35253781600)",35253781600,Below Victory: Subsurface Radar Advances for Creative Digital Heritage,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139262936&partnerID=40&md5=e67a34b9e20cc62ba6239bbb2cef1b20,"Recent advances in Ground Penetrating Radar have caused the imaging technology to pivot from a simple construction engineering tool to a valuable new option for archaeology. Newfound abilities to model sound echoes resonating through stone have revealed archeological discoveries where excavation is not possible. Working with a transdisciplinary team, the artist secured a GPR scan of 2,000-year-old Gallo-Roman temple ruins below the plaza of a gothic cathedral in France. The technology's sounding image of the hidden site became a visual language that was explored in a 2-year series of artworks based on the discovery. The art + science research project resulted in data visualizations across many creative media including site-specific public trompe l'oeil, augmented reality, and hundreds of design experiments. Using the GPR dataset as a foundational resource in art-making, the project expanded the interpretation of Digital Heritage. Collectively, the works reinforced the understanding of a site hidden since Antiquity but also considered public non-sites in pandemic times. The advances in this scanning technology proved to be a powerful creative tool to highlight themes of how we protect and understand heritage, how we create public experiences in socially distanced times, and our responsibility to continually reconsider complex history. © 2022 ACM.",Association for Computing Machinery,below victory subsurface radar advances for creative digital heritage,Scopus
"Hevesi, P.; Devaraj, R.C.; Tschope, M.; Petter, O.; Elfert, J.N.; Fortes Rey, V.F.; Hirsch, M.; Lukowicz, P.","Hevesi, Péter (55037305500); Devaraj, Ramprasad Chinnaswamy (57223004487); Tschope, Matthias (57222999092); Petter, Oliver (57211181738); Elfert, Janis Nikolaus (57223011073); Fortes Rey, Vitor (55904729800); Hirsch, Marco (56878319700); Lukowicz, Paul (6701557151)",55037305500; 57223004487; 57222999092; 57211181738; 57223011073; 55904729800; 56878319700; 6701557151,Towards Construction Progress Estimation Based on Images Captured on Site,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104406774&partnerID=40&md5=5eb85dacce0c31183d5a459e004a6cb4,"State of the art internet of things (IoT) and mobile monitoring systems promise to help gathering real time progress information from construction sites. However, on remote sites the adaptation of those technologies is frequently difficult due to a lack of infrastructure and often harsh and dynamic environments. On the other hand, visual inspection by experts usually allows a quick assessment of a project’s state. In some fields, drones are already commonly used to capture aerial footage for the purpose of state estimation by domain experts. We propose a two-stage model for progress estimation leveraging images taken at the site. Stage 1 is dedicated to extract possible visual cues, like vehicles and resources. Stage 2 is trained to map the visual cues to specific project states. Compared to an end-to-end learning task, we intend to have an interpretable representation after the first stage (e.g. what objects are present, or later what are their relationships (spatial/semantic)). We evaluated possible methods for the pipeline in two use-case scenarios - (1) road and (2) wind turbine construction. We evaluated methods like YOLOv3-SPP for object detection, and compared various methods for image segmentation, like Encoder-Decoder, DeepLab V3, etc. For the progress state estimation a simple decision tree classifier was used in both scenarios. Finally, we tested progress estimation by a sentence classification network based on provided free-text image descriptions. © 2021, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.",Springer Science and Business Media Deutschland GmbH,towards construction progress estimation based on images captured on site,Scopus
"Hinkel, G.; Goldschmidt, T.; Burger, E.; Reussner, R.","Hinkel, Georg (57031622500); Goldschmidt, Thomas (36846075900); Burger, Erik (54419605600); Reussner, Ralf H. (6603589366)",57031622500; 36846075900; 54419605600; 6603589366,Using internal domain-specific languages to inherit tool support and modularity for model transformations,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010991314&partnerID=40&md5=5fb8d143b5de6a2a2cdd4b19ad031d2a,"Model-driven engineering (MDE) has proved to be a useful approach to cope with today’s ever-growing complexity in the development of software systems; nevertheless, it is not widely applied in industry. As suggested by multiple studies, tool support is a major factor for this lack of adoption. In particular, the development of model transformations lacks good tool support. Additionally, modularization techniques are inevitable for the development of larger model transformations to keep them maintainable. Existing tools for MDE, in particular model transformation approaches, are often developed by small teams and cannot keep up with advanced tool support for mainstream general-purpose programming languages, such as IntelliJ or Visual Studio. Internal DSLs are a promising solution to these problems. In this paper, we investigate the impact of design decisions of an internal DSL to the reuse of tool support and modularization concepts from the host language. We validate our findings in terms of understandability, applicability, tool support, and extensibility using three case studies from academia, a model-driven engineering platform, and the industrial automation domain where we apply an implementation of an internal model transformation language on the.NET platform. The results confirm the value of inherited modularity and tool support while conciseness and understandability are still competitive. © 2017, Springer-Verlag Berlin Heidelberg.",Springer Verlag service@springer.de,using internal domain-specific languages to inherit tool support and modularity for model transformations,Scopus
